appid,developer
315430,Bluebutton Games
315450,Oruji Productions
315460,Gaddy Games
315480,Backstab Games
315540,alpha six productions
315550,Excalibur
315610,Mouldy Toof Studios
315650,RichMakeGame
315650,Colin Northway
315660,N3V Games
315670,"Moss Co., Ltd."
315680,Jujubee S.A.
315810,minori
315830,Patrice Meneguzzi
315840,FourbitFriday
315850,Haruneko Entertainment
315860,Ekuator Games
315920,Enitvare
315930,Interbellum team
315940,N94Games
316010,Stainless Games Ltd.
316020,Pentavera
316030,Etranges Libellules Studios
316080,Polar Bunny Ltd
316140,Tin Man Games
316160,Sumo Digital Ltd
316180,"Harmonix Music Systems, Inc"
316240,PlayWay S.A.
316260,Eurocom
316320,Papaya Studio
316370,Dreamatrix
316390,Cybertime System
316420,Nordcurrent
316430,Great War Team
316480,Sarepta studio
316600,Orange_Juice
316610,Alan Hazelden
316610,Benjamin Davis
316660,Force Of Habit
316700,Cyanide Studio
316720,VisualArts/Key
316740,GammaLateral
316790,Double Fine Productions
316810,One-bit Punch
316840,AlphaNuts
316890,Calvino Noir Limited
316930,Jae Lee Productions
316950,Dynamic Games
316970,Fledermaus
317020,Humongous Entertainment
317030,Humongous Entertainment
317040,Rogue Entertainment
317060,GameCoder Studios
317080,Ghost Machine
317100,Camouflaj
317250,Cross-Product
317280,MoaCube
317290,Winter Wolves
317300,Winter Wolves
317320,Alasdair Beckett-King
317320,Application Systems Heidelberg
317360,Double Action Factory
317370,"CINEMAX, s.r.o."
317380,Lonely Troops
317410,REMIMORY
317440,GameArt Studio GmbH
317470,Cosmic Cow LLC
317510,Qwiboo Ltd
317580,Papaya Studio
317610,The Secret Pie
317620,Full Control Studios
317710,Shawn Beck
317720,Warlock Arts
317730,REEW GAMES
317820,Gambrinous
317840,"GAME ARTS Co., Ltd."
317920,AMA
317920,Mando Productions
317940,Basecamp Games
317950,Tavern Games
317970,Orion Games
318020,Eugen Systems
318090,Fakedice
318100,Axyos Games
318130,Heartbit Interactive
318220,Odin Game Studio
318230,Convoy Games
318260,Nexeon Studios
318300,PIPE Studio
318310,Choice of Games
318330,Choice of Games
318350,Gamestar
318430,Tomi Maarela
318430,Elias Viglione
318440,Wonderful Tree Studio
318480,Nerve Software LLC
318530,Grynsoft
318560,Carlo D'Apostoli Projects
318570,Traptics
318600,The Molasses Flood
318650,vertex4 entertainment ltd.
318660,Coreplay
318680,Z-Software
318690,Vinci Games
318740,Griptonite Games
318860,Jochen Mistiaen
318950,Planet Moon Studios
318970,Juggernaut Games
319050,Snapshot Games Inc.
319080,High Impact Games
319140,Renegade Kid
319170,Eurocom
319180,Idigicon
319210,Sam Albon
319230,Sunlight Games
319250,Tasty Stewdios LLC
319270,Ripatti Software
319280,Yatagarasu Dev Team
319300,N3V Games
319320,Artifex Mundi
319400,Disney Interactive
319430,4Realms
319450,Frima Studio
319470,Disparity Games
319480,JoyMasher
319510,Scott Cawthon
319550,Shortbreak Studios s.c.
319560,electrolyte
319570,MobileBits
319630,DONTNOD Entertainment
319630,Feral Interactive (Mac)
319630,Feral Interactive (Linux)
319730,"HANBITSOFT, INC."
319730,"IMC GAMES CO.,LTD."
319740,Iridium Studios
319760,bumblebee.
319780,LinkSolutions Ltd.
319830,Alex Piola
319850,ClockStone
319910,Frozenbyte
319970,Rival Games Ltd
320040,Kitfox Games
320090,CAVYHOUSE
320110,N3V Games
320120,Mårten Jonsson
320140,Funselektor Labs Inc.
320140,FlippFly
320150,ONE MORE LEVEL
320240,Compulsion Games
320300,Red Dot Games
320310,Homa Design
320320,Delphine Software
320330,All Those Moments
320340,Chasing Carrots
320400,Mixel
320410,Sonalysts Combat Simulations
320430,"Playdek, Inc."
320520,Chocolate Liberation Front
320540,Milky Tea Studios
320610,URSE Games
320630,URSE Games
320650,URSE Games
320670,URSE Games
320690,Alawar Entertainment
320760,"M2 Co.,LTD"
320790,Deadghost Interactive
320820,Swordtales
320840,Cinemaware
320970,Fugazo
321030,BS1 & BSL Team
321060,Transcendent Games
321080,Sascha Hartleb
321150,SDP Games
321160,Digital Melody
321190,OVERDRIVE
321260,Mad Ram Software
321270,BlueEagle Productions
321290,Sujin Ri
321290,Marcos Arroyo
321290,Seona Lee
321290,Somi Lee
321290,Sohyeon Jeon
321330,James Mearman
321350,Sub Orbital Software
321360,Circle Five Studios
321360,Pub Games
321370,Midnart
321390,Nordic Legacy
321400,Supra Games
321410,WarfareSims
321450,"Hammerware, s.r.o."
321480,Croteam
321490,Milestone S.r.l.
321560,Daniel Linssen
321600,Snack Games
321610,Brain Bombers
321660,Crafty Studios
321710,Maus Software
321800,Beamdog
321830,Vine
321840,IDHAS Studios
321870,Jesse Makkonen
321880,"Amaranth Games, LLC"
321890,"Amaranth Games, LLC"
321920,Zeppelin Studio
321940,Deck 13
321950,Cubic Pie
321960,Limbic Entertainment
322030,Carlo D'Apostoli Projects
322080,Swagabyte Games
322110,Batterystaple Games
322110,Fire Hose Games
322130,Papaya Studio
322170,RobTop Games
322190,Image & Form Games
322210,Crazy Monkey Studios
322210,Claeysbrothers
322290,Nihon Falcom
322290,Mastiff
322300,IF Studios
322330,Klei Entertainment
322430,MouldyMattress
322440,Yanim Studio
322450,Loveshack Entertainment
322500,SUPERHOT Team
322520,"KOEI TECMO GAMES CO., LTD."
322540,Crispon Games
322580,Keys of Nine Entertainment
322630,Acquire
322630,Zerodiv
322680,FiolaSoft Studio
322750,Alkemi
322770,Indimo Labs LLC
322780,Bossa Studios
322850,Cyanide Studio
322900,GabberGames.com
322910,Hammerfall Publishing
322930,IPACS
322950,VooFoo Studios
322970,Paul Cuisset
322980,Artefacts Studio
322990,TiconBlu
323000,YETi CGI
323020,MiniVisions
323040,Choice Provisions
323060,Choice Provisions
323190,11 bit studios
323220,Nuke Nine
323240,Good Games
323250,iMaxGen
323260,Shaman Games Studio
323270,iMaxGen
323280,Shaman Games Studio
323320,"Reflections, a Ubisoft Studio"
323380,Question
323430,Sunside Inc
323450,EXE-CREATE
323460,"Moss Co., Ltd."
323470,DIMPS
323490,CorypheeSoft
323490,DigitalEZ
323580,Thunder Lotus Games
323630,Rotateam
323670,One Legged Seagull
323680,Incandescent Imaging
323700,Glitchy Pixel
323720,Shining Gate Software
323780,Reality Twist GmbH
323850,Those Awesome Guys
324050,PlayWay
324050,Si7
324070,Gamious
324080,JIW-Games
324090,FX Game Studio
324110,Microids
324120,Duelboot
324140,Press Play
324160,VisualArts/Key
324170,Winged Cloud
324190,"Multi-Dimensional Games (Studio of ThoughtSTEM, LLC)"
324240,Blue Label Studio
324260,AtomicTorch Studio
324270,Polygon Art
324310,stillalive studios
324360,Juniper Games
324390,TheShortAndTheTall
324400,Nine Tales Digital
324400,Bolt Creative
324420,Nine Tales Digital
324470,Princesseuh
324510,Wonderstruck
324520,Artem Kotov
324570,343 Industries
324570,Vanguard Games
324610,Tom De Roeck
324650,Phosphor Games
324680,Relic Entertainment
324680,THQ Nordic
324710,Tin Man Games
324730,Tin Man Games
324740,Tin Man Games
324750,Sector3 Games
324760,ODD Games
324770,Lexis Numerique
324800,Flying Wild Hog
324810,Reakktor Studios
325060,Toasty Games
325090,Bossa Studios
325110,Smack Down Productions
325120,Angels Blue Digital Entertainment
325120,DigitalEZ
325150,Team Flow
325160,Zotnip
325180,The Game Creators
325300,Wildgrass
325320,Dark Gaia Studios
325370,Funktronic Labs
325420,Copybugpaste
325430,"Metaware Limited, LLC"
325470,Wastelands Interactive
325520,Daedalic Entertainment
325610,CREATIVE ASSEMBLY
325730,Skydome Entertainment
325790,Red Katana
325860,Mighty Rabbit Studios
325860,Relevant Games
325870,Drakkar Dev
325880,Levels or Lives
325880,Super Fun Games
325930,Slick Entertainment Inc.
326110,Knitted Pixels
326120,Flump Studios
326130,Little World Studio
326150,Studio Whisky Tango Inc.
326160,Portalarium
326180,Jetdogs Studios
326190,Jetdogs Studios
326230,Niels Bauer Games
326340,Arc System Works
326360,AIGRIND
326380,Chimera Entertainment
326410,Tasharen Entertainment Inc.
326420,Narrow Monolith
326460,kChamp Games
326470,Mind Crew
326480,MoeNovel
326520,Ste Curran
326520,Twistplay
326590,Cinemaware
326630,BigBlaze Games
326650,Atmosphere Entertainment Studios
326670,Rodeo Games
326670,Twistplay
326720,With The Love Studios
326730,RosePortal Games
326840,AHEARTFULOFGAMES
326950,Straywire
326960,David Hensley
326960,Alex Quick
326990,Ultravision Interactive
327000,Sakura River Interactive
327010,251 Games
327030,Team17 Digital Ltd
327060,Bits & Beasts
327070,Black Eye Games
327090,Space Boat Studios
327140,Google
327150,Timeslip Softworks
327210,Reload Games Studio
327220,Daedalic Entertainment
327260,Super Icon Ltd
327310,Wonderstruck
327370,MagicIndie
327380,"MicroProse Software, Inc"
327390,"MicroProse Software, Inc"
327400,"MicroProse Software, Inc"
327410,Freebird Games
327440,Subscience Studios
327450,ClickShake Games LLC
327500,bitHuffel
327510,Mr. Podunkian
327520,Gatling Goat Studios
327560,Orthogonal Games
327640,rdt.32
327650,V5 Play
327670,Dreadbit
327740,"Monolith Productions, Inc."
327760,Skymap Games
327860,Lavaboots Studios
327880,Sigtrap
327890,Bossa Studios
327910,Epic MegaGames
327910,Vision Software
327920,"MicroProse Software, Inc"
327930,MPS Labs
327940,MPS Labs
327950,"MicroProse Software, Inc"
327960,DigitalWorldEntertainment
327980,Muteki
328000,Muteki
328070,Turbo Pixel Studios
328080,Raymond Doerr
328100,Ino-Co Plus
328220,Quickfire Games
328270,Lostwood
328310,Crenetic GmbH Studios
328430,"MicroProse Software, Inc."
328440,"Accolade, Inc."
328450,"Cyberlore Studios, Inc."
328450,Accolade
328460,"Accolade, Inc."
328470,"Accolade, Inc."
328500,Pixeljam
328510,Retro Dreamer
328550,Choice of Games
328590,Wales Interactive
328600,Double Eleven
328640,Quaternion Studio
328650,Johnny Death Games
328670,Raylight Games
328680,Mission Critical Studios
328710,Bloodwolf Studio
328740,Gamesare
328760,Black Shell Games
328780,CBE software s.r.o.
328830,Alternative Software Ltd
328880,Red Hedgehog
328890,Chessbase
328900,Wayward Design
328920,"MicroProse Software, Inc."
328930,"MicroProse Software, Inc."
328940,Crescent Moon Games
328940,Cinopt Studios
328990,Zach Kehs (SunnyKatt)
329000,New Reality Games
329020,Essence Ltd.
329040,Hydro Games
329050,"CAPCOM Co., Ltd."
329070,Chris Hecker
329070,John Cimino
329110,Infinity Plus 2
329130,Anisoptera Games
329190,Ramjet Anvil
329200,Aegon Games
329240,Puuba
329280,Animus Interactive Inc
329310,nalothchris
329310,swanee734
329320,Rezoner
329340,Marsbound
329380,Carbon
329430,Undead Labs
329440,Sonic Team
329460,TreeFortress Games
329480,West Dragon Productions DR
329490,MAGES. Inc.
329610,MLB.com
329620,"MicroProse Software, Inc"
329630,Ozark Softscape
329640,"Accolade, Inc"
329650,TNT Team
329660,"MicroProse Software, Inc"
329670,"MicroProse Software, Inc"
329680,"MicroProse Software, Inc"
329690,Studio Bean
329770,Phr00t's Software
329830,David Szymanski
329860,Chris Chung
329860,Fire Hose Games
329890,DragonHead Studio
329970,Electric Succubi
329980,Simon Says: Play!
330100,Mirko Seithe
330180,Pastagames
330270,Frozen District
330350,YFYX GAMES
330370,Top3Line s.r.o.
330390,"GAME ARTS Co., Ltd."
330390,SkyBox Labs
330420,OKAM Studio
330450,LuGus Studios
330460,Romenics
330460,Artaani
330460,Riya
330470,Exquisite Games
330500,Blot Interactive
330520,Attract Mode Games
330570,C3SK
330580,Lighthouse Games Studio
330590,Particle Systems Ltd.
330620,"Parody Games, LLC"
330660,Serenity Forge
330670,XMPT Games
330680,Z-Software
330720,On Target Simulations
330770,Tammeka Games
330820,"MidBoss, LLC."
330830,Telltale Games
330880,"Move Games Co., Ltd."
330990,Brave Giant LTD
331120,VIS-Games
331160,Beenox
331190,TURBOGUN
331200,Daniel Davies
331210,Adventure Mob
331210,Corbomite Games
331220,Rude Ghost
331290,xinoro
331340,Encryptique
331360,Hoplon
331390,WINGED SAKURA GAMES
331400,Daniel Gill
331440,Kinto Games LLC
331450,KnowWonder
331460,HandMade Game
331470,Soviet Games
331480,Thomas Brush
331500,Hesketh Studios Ltd
331510,Moondrop
331570,FlexileStudio
331580,Neon Serpent LLC
331600,"KOEI TECMO GAMES CO., LTD."
331650,Torus Games
331670,"Jackbox Games, Inc."
331690,Fourattic
331720,Endless Loop Studios
331750,Asobo Studio
331760,No Bull Intentions
331790,New Reality Games
331870,Forgotten Key
331880,PlayWay SA
331910,Earthworm Games
331920,Spellbound AG
331970,Barking Dog Studios
331980,Glowforth
332070,"JumpStart Games, Inc."
332150,Ranmantaru Games
332200,Thomas Happ Games LLC
332250,Aurelien Regard
332260,Rainbow Studios
332270,Minor Key Games
332310,TT Games
332310,Traveller's Tales
332330,Q-Games Ltd.
332330,Double Eleven
332360,BrashMonkey
332370,xinoro
332380,Aldorlea Games
332390,Aldorlea Games
332400,Aldorlea Games
332410,Aldorlea Games
332480,Awoker Games
332490,Mythical City Games
332500,"BitMonster, Inc."
332530,Neon Deity Games
332540,Furiously Inactive Games
332570,Fayju
332580,Dreadlocks Mobile
332580,Silicon Jelly
332610,Last Dimension
332620,Delve Interactive
332630,oophok
332650,Fairytale Distillery
332700,Bogdan Sychkov
332710,Ratz 'N' Godz
332710,Storybird Games
332730,Thrillion
332760,Force Of Habit
332760,Clockwork Cuckoo
332780,Paper Games
332790,Black Lime Studio
332800,Scott Cawthon
332810,Hot Lava
332830,blamedrop
332880,"Silverware Games, Inc."
332950,Glowstick Entertainment
333100,Demesnegame
333100,Composer-Motorin Dmitry (Djinotan)
333120,Mykhail Konokh
333130,XPEC Entertainment Inc.
333210,Kerberos Productions Inc.
333220,773
333250,Animu Game
333260,Breakfall
333290,Physmo
333300,Thomas Biskup
333300,Jochen Terstiege
333300,Zeno Rogue
333300,Krzysztof Dycha
333300,Lucas Dieguez
333330,Beldarak Games
333340,Project Whitecard Studios Inc.
333340,NASA (Some Models)
333350,Chaphat
333380,Wolfgame
333390,Winter Wolves
333420,GSC Game World
333430,White Birds Productions
333490,Team Replay
333510,Leikir Studio
333540,"Subaltern Games, LLC"
333580,Insomniac Games
333600,NEKO WORKs
333640,Freehold Games
333650,Ironcode Gaming
333660,Jsmael Stieger
333660,Manuel Stieger
333660,Andreas Stieger
333730,DFour Games
333760,Nooner Bear Studio
333870,Five Archers Games
333880,Tortuga Team
333930,Splash Damage
333950,Keen Software House
333970,Thoughtshelter Games
333980,ACQUIRE Corp.
333990,10x10 Room
334030,Shadow Masters
334040,Gadget Games
334070,Rubycone
334100,Golden Ruby Games
334120,Pencil Test Studios
334140,amulware
334190,Causal Bit Games Inc.
334210,Clapfoot
334230,BlankMediaGames
334260,Fastermind Games
334270,Trese Brothers
334280,Eastasiasoft Limited
334300,Beyond-Limits-Games
334300,FCG
334410,Endeavor One Inc.
334420,Mi-Clos Studio
334470,MagicIndie
334480,MagicIndie
334490,MagicIndie
334540,Space Bullet Dynamics Corporation
334560,Gnomic Studios
334620,David Erosa
334690,Sean Davy
334710,Anthony Case
334830,Autotivity Entertainment
334840,Ghost Crab Games
334850,"Black Chicken Studios, inc."
334920,Zero-K Team
334940,Villa Gorilla
334960,"New Life Interactive, LLC"
334980,Ryan Javanshir
335000,OhNoo Studio
335010,Maltakreuz
335050,Eversim
335070,Virtual Racing Industries Ltd.
335090,Daniele Giardini
335090,Isak J Martinsson
335100,iosoftware
335120,Whalenought Studios
335150,Gameguyz
335190,Orange_Juice
335200,Tazigen Clock
335210,Frost Earth
335220,Mårten Jonsson
335240,Atelier 801
335300,"FromSoftware, Inc"
335310,"TREND, Softpro"
335320,Kylotonn
335330,Exe Games Inc.
335420,ARTDINK
335430,Omniconnection
335440,Rabid Design Studios
335450,Tin Man Games
335460,Tin Man Games
335550,Bubble Head Games
335560,Garden Knight Games
335570,Carlo D'Apostoli Projects
335620,Trese Brothers
335660,roseVeRte
335670,Dingaling
335690,roseVeRte
335700,Krealit
335770,KURONEKO SOFT
335790,Dylan Loney
335820,SoftStar
335830,Blazing Griffin
335840,Cabygon
335850,Black Cloud Studios
335890,Quantumfrog
335900,Fasaria Works
335920,SuperChop Games
336010,Milestone S.r.l.
336020,Ironcode Gaming
336030,Aesir Interactive
336040,Rubicon Development
336060,DotEmu
336080,Every Single Soldier
336090,PolarityFlow
336110,Headless Wizard
336130,Wadjet Eye Games
336140,Wadjet Eye Games
336150,Celeris
336160,QuadraTron Games
336200,Spiderwork Games
336210,Radioactive-Software
336220,Evil Aliens
336230,Makivision Games
336240,Brainseed Factory
336280,Kisareth Studios
336300,Sergio & Simon
336380,Colonthree Enterprises
336420,Toadman Interactive
336420,Fatshark
336440,Studio Evil
336520,Blue Byte
336530,Daniel Ritchie - Squirreldome.com
336530,Philip Staiger - TheBest3D.com
336610,Fresh3D
336630,Lunagames
336670,Shifty Chair Games
336680,iconical Ltd.
336700,Hyper Hippo Games
336710,No Bull Intentions
336730,No Bull Intentions
336760,1C Wireless
336770,1C Wireless
336780,1C Wireless
336840,Fair Play Labs
336930,KTX Software
336940,Puppygames
337000,Eidos Montreal
337000,Feral Interactive (Linux)
337000,Feral Interactive (Mac)
337040,Screwfly Studios
337070,Dimmdrive Inc.
337130,MDNA Games
337150,Handelabra Games Inc.
337180,FuturLab
337210,iosoftware
337220,GTGD
337270,MeDungeon Ltd.
337280,John Lawrence
337290,Greg Sergeant
337320,South East Games
337340,Freebird Games
337350,Messhof
337360,Empty Clip Studios
337410,Galaxy Gate
337420,Light Echo
337450,Green Lava Studios
337480,Zoink Games
337490,Ludo Land
337630,InvertMouse
337650,Zeke Virant
337670,Kikiwik Games
337680,Black Lab Games
337700,Zero Dollarz
337720,Jonas Kyratzes
337730,Five Archers Games
337760,VR Designs
337820,Squatting Penguins
337850,Spiderweb Software
337880,Black Curtain Studio
337890,Dischan Media
337930,Sujin Ri
337930,Yunjeong Yun
337930,Hyein Go
337930,Minsu Ock
337930,Marcos Arroyo
337930,Seona Lee
337930,Sohyeon Jeon
337940,Zeiva Inc
337950,Eforb
337960,PHL Collective
337970,b-alive gmbh
337980,Warfare Studios
338030,WisdomTools
338040,Arran Langmead
338050,BSK Games
338060,Zoo Corporation
338070,ARTDINK
338080,ARTDINK
338090,ARTDINK
338100,ARTDINK
338110,Hello There AB
338120,HeroCraft Krasnodar
338130,HeroCraft
338140,Deck13
338170,Lino Slahuschek
338180,[geim].pro
338190,Retrific
338260,HappyGiant
338290,Vidroid
338300,Avalanche Software
338310,Cardboard Keep
338320,The Bitfather
338330,Vennril
338350,b-alive gmbh
338390,Spiders
338530,Charyb Games
338540,SDEnterNet
338550,DM Media
338550,Dark Computer Entertainment Ltd.
338590,Eversim
338630,b-alive gmbh
338760,The Future Of Videogames
338800,Enlight Software Limited
338810,Noble Master LLC
338830,Huy Phan
338890,Moon Spider Studio
338960,Alawar Entertainment
338980,Alawar Entertainment
338980,Toyman Interactive
339000,Michael Kissinger
339000,Marco Hulden
339000,Shaun Egan
339000,Joshua Marks
339000,Denys Ovsiannykov
339040,Avalanche Software
339090,Mommy's Best Games
339110,Ya2
339120,Dodge Roll
339130,Red Herring Labs
339160,Green Sauce Games
339190,Fictiorama Studios
339200,Cornfox & Bros.
339210,Fragment Production Ltd.
339230,Straight Right
339240,Rock Paper Games
339250,WINGED SAKURA GAMES
339280,S2 Games
339290,Snails Animation
339320,Spooky Cat
339340,"CAPCOM Co., Ltd."
339350,Choice of Games
339400,Blackfire Games
339440,Devoga
339470,Sometimes You
339500,Dapper Swine
339510,Choice of Games
339560,Global Empire Soft
339570,Tom Johnson
339580,N-Fusion Interactive
339590,Wither Studios
339600,KIXEYE
339610,Joycity
339690,Dissident Logic
339700,Steel Monkeys
339710,WHOA!
339720,Spiderwork Games
339790,Image Space Incorporated
339800,HuniePot
339820,MP Game Studios
339840,House of Tales
339850,House of Tales
339910,Studio TeamShuriken
340000,Double Fine Productions
340030,Defroids team
340050,Bob
340070,Playboom
340120,Doyodo
340130,Doyodo
340140,Wise Owl Studios
340150,Halfbus
340170,Square Enix
340190,AlteredPlanets
340200,2SD
340210,Brain and Nerd Ltd
340220,TRI.G
340250,David Newton
340270,Random Seed Games
340280,Nicolas Pierre-Loti-Viaud
340290,Johan Aronsson
340300,Forever Entertainment S. A.
340310,Forever Entertainment S. A.
340320,MGP Studios
340330,Fancy Fish Games
340340,Sean Davy
340350,Carmine T. Guida
340360,Jake Huhman
340370,MDNA Games
340380,Alex Jedraszczak
340400,Momiji Studios
340410,Ghost Machine
340440,Ogopogoid Entertainment
340450,Don Whitaker
340460,Lei
340470,Brian Cullen
340480,SeattleEgg
340490,Pixellore
340500,Fellstrike Games
340520,Chris McFarland
340540,JAVELIN OÜ
340560,Eko Software
340570,Peter Hrdy
340580,Sun-Studios
340600,Matthew Jennings
340630,Immunity Studios
340680,DarkArts Studios
340700,Eko Software
340720,Running Pillow
340730,Love in Space
340750,Orangepixel
340770,Terminal Press
340800,InvertMouse
340810,Bytebin
340830,Enitvare
340840,Desktop Daydreams Studios
340860,Rectangle
340880,Snipefish Entertainment
340920,The Conjurer's Tower
340950,Backward pieS
340960,4-Panel Footprint
340990,Avalanche Software
341000,Eggcode
341010,Benjamin Lapid
341020,Storybird
341030,Argonauts Interactive
341030,Collectif Nemoïd
341040,Strategiae
341060,Mikeypoo's Games
341060,Roger Levy
341070,Brucefilm
341080,Hyde Games
341090,Battenberg Software
341120,Pixeljam
341150,Leslaw Sliwko
341160,ProjectorGames
341260,Artisiti
341260,Studio Vrtinec
341270,Greeny Games Studio
341290,Pyrosphere
341310,Lesley Dodd
341360,Pringo Dingo Games
341380,HCP Games
341390,DarkArts Studios
341440,SERIOUS*IMPACT WORKS
341460,Tyrone Hunt
341470,Rake in Grass
341490,Key17 Games
341500,Anteater Games
341510,Outer Grid Games LLC
341530,Zanrai Interactive
341540,Axel Shokk
341550,Artur Games
341550,Music by Darkman007
341570,Unterrainer Informatik OG
341640,Fungameco Ltd
341660,Forcequitapplicatons
341680,Mark Chong
341690,Loading Home
341700,Locomotivah
341710,Eat Create Sleep
341720,Eat Create Sleep
341730,Invictus Games Ltd.
341750,FirstForever Studios
341760,Henchman & Goon
341770,"Playful Art, LLC"
341780,Kisareth Studios
341800,Steel Crate Games
341820,Red Head Games
341860,Maxwolf
341860,Fox
341870,Game Freak
341890,Tyler Rogers
341890,David Colson
341910,Creatio 49
341930,NuclearFirecracker
341940,Destructive Creations
341950,Sillysoft Games
341980,CivilSavages
342020,Major Games
342090,Supreme Clans Entertainment
342100,Atrax Games
342130,Hitpoint Games Ltd.
342150,Lightbulb Crew
342180,Vertigo Games
342180,Jaywalkers Interactive
342190,Vertigo Games
342190,Wolfdog Interactive
342200,Piranha Games Inc.
342230,Lazy Bum Games
342240,Brainshape Games
342250,DGform
342260,Flying Mollusk
342300,Still Running
342310,Leonard Menchiari
342310,IV Productions
342350,earrgames
342360,Zeiva Inc
342380,Winged Cloud
342450,Hanabira
342480,Blowfish Studios
342490,Brushfire Games
342500,Machine 22
342510,Machine 22
342520,Thomas Christof
342520,Giovanni Rotondo
342520,Thomas S.
342530,Magic Pants
342540,SecuritySession.com
342550,Eyemobi Ltd.
342560,David Stark
342570,GameUS Inc.
342580,Jetdogs Studios
342580,Zoom Out Games
342610,Zeno Rogue
342620,Triangle Studios
342630,Shaman Games Studio
342640,Quadro Delta
342650,GameArt Studio GmbH
342660,Bail! Enemy Jet!
342740,Geek Sloth Games
342860,Brain Seal Ltd
342870,LucasGame
342890,Christopher Cinq-Mars Jarvis
342910,Crystal Dragon
342920,Juicy Beast
342940,"Elder Game, LLC"
342970,Sachonski
342970,Renamilanesi
342970,Sith
342980,MovingBlocks
342990,House of Tales
343000,House of Tales
343020,Total Monkery
343070,TML-Studios
343090,"Jundroo, LLC"
343100,Black Shell Games
343120,baKno Games
343140,AWE Games
343150,Dream Within
343170,Peter Hann
343180,Good Day Games
343180,NYX Digital
343250,Vital Games Ltd
343270,StephenAllen
343280,ZeroBit Games
343320,StaudSoft
343340,BBQ Games
343360,Microblast Games
343370,Choice of Games
343390,Alawar Dreamdale
343410,Them Games
343430,Nevosoft
343440,M2H
343560,Shorebound Studios
343570,Pixel Elephant
343630,MAGICS
343690,Dima Kiva
343710,IMGN.PRO
343740,Luden.io
343750,Spark Plug Games
343770,Enzo Whyte
343800,Zojoi
343810,Zojoi
343820,Zojoi
343830,Zojoi
343840,Lawrence Russell
343860,Fullbright
343930,Creobit
344030,Autumn Moon
344040,Lord Kres
344100,Dot Dream
344130,Acido Cinza
344160,Pepi Games
344190,Tactic Studios Inc.
344220,Hyper Hippo Games
344230,DL Softworks
344240,Evil Twin Artworks
344260,Kursed Studios
344270,Schell Games
344300,Allicorn Games
344340,Solecismic Software
344410,Guru Games
344440,Alawar Entertainment
344480,Fallen Tree Games Ltd
344500,[bracket]games
344630,MOONSTONE
344740,Alientrap
344760,Code}{atch
344770,ALICE IN DISSONANCE
344800,Grey Dog Software
344810,Grey Dog Software
344820,Photon Arena
344840,Positech Games
344850,Twice Circled
344860,Emmanuel Salva Cruz
344880,Conflux Games
344890,NeFARiOUS Dimensions iNteractive
344890,nDi
344900,Miguel Lleras
344910,OBLONE Software
344960,Thomas Schreiter
344960,Dirk Schreiter
344960,Jörg Winterstein
344960,Peer Draeger
344960,Gereon Bartel
345010,Fluffy Kitten Studios
345020,Ayrik
345030,Robert Dahlenburg
345060,Wyse Games
345080,Laughing Jackal LTD
345090,Moonlight Mouse
345120,Great Cogs
345130,Meridian4
345140,Psytec Games Ltd
345180,Haemimont Games
345200,Dingo Games
345220,Chaos Industries
345230,Akçay Karaazmak
345240,CREATIVE ASSEMBLY
345260,CREATIVE ASSEMBLY
345280,Konsordo
345290,Charybdis Ltd
345330,Nvizzio Creations
345330,Meridian4
345340,Home Groan Games
345350,Square Enix
345390,The Odd Gentlemen
345430,KPy3O
345430,Noostyche
345440,Skobbejak Games
345460,Fifth Column Games
345480,Triple Eh?
345540,Specialbit Studio
345580,3000AD
345610,Frontwing
345620,Frontwing
345630,Frontwing
345640,Hanaji Games
345650,InvertMouse
345660,Milestone S.r.l.
345690,Twelve Games
345700,Echo Tokyo Games
345710,Sinister
345750,Pocket Games
345750,Fluid Games
345750,GodSpeed Games
345820,WayForward
345860,Synset
345920,ArtemizGame
345990,Ankama Studio
346010,Spiderling Studios
346040,VIS-Games
346060,Page 44 Studios
346080,Squirrelbot Games
346090,Fancy Fish Games
346110,Studio Wildcard
346110,Instinct Games
346110,Efecto Studios
346110,Virtual Basement LLC
346120,Spasman Games
346130,TCHOW
346140,Alawar Entertainment
346150,DropDGames
346160,Mayhem Games USA
346180,Fermenter Games
346200,Dust Scratch Games
346210,Rainbow Games
346240,Jan Zizka
346250,Red Dwarf Games
346300,Xiotex Studios Ltd
346330,Reperio Studios
346340,Heliocentric Studios
346420,Weird and Wry
346430,Mido Basim
346430,Danny Wei
346440,Psychic Games Ltd.
346450,Blaze Epic
346460,Red River Studio
346470,Mana Games
346490,Web Interactive Solutions
346500,NukGames
346550,Cylne
346560,Lonely Troops
346610,Sandbox Games
346630,Felix Wunderlich
346650,Raxi Petrov
346670,Peter Lacalamita
346730,peakvox
346730,O-TWO inc.
346750,Retora Games
346760,ProtoMasons.com
346770,Hammerspace Games
346780,Windmill Games
346800,Antiproto
346810,Clarus Victoria
346830,Square Enix
346850,Niffler Ltd.
346900,Hyper Hippo Games
346920,Ignition Games Inc.
346940,Harebrained Schemes
346950,Jerseyware Gaming
346970,Dez
347000,PolyKnight Games
347030,Little World Studio
347040,Burnt Fuse
347050,HyperDrive Games
347060,Cyanide Studio
347060,Umix Studios
347080,Wild Sphere
347160,Pixelnest Studio
347170,Sim155 Limited
347230,"MicroProse Software, Inc"
347240,"MicroProse Software, Inc"
