appid,publisher
416200,CD Jones
416210,Devolver Digital
416240,Happy Polygon
416250,Screen 7
416290,Curse Box Studios
416310,Alawar Entertainment
416320,Alawar Entertainment
416330,Explosive LLC
416340,Qumaron
416350,Ivanovich Games
416360,Lached Up Games
416370,phime studio LLC
416380,"Rocket-Engine Co.,Ltd."
416390,Jay-Run
416430,Axed Game Studio
416450,Pixel Federation
416530,Cherry Pie Games
416550,John Szymanski
416590,SKH Apps
416600,Cellar Door Games
416610,Cleverweek
416630,Sapphire Dragon Productions
416640,Choice of Games
416670,webgames
416680,Good Shepherd Entertainment
416690,Good Shepherd Entertainment
416700,Indomitus Games
416720,Recotechnology S.L.
416760,Best Gaem Studio
416770,Matthew Brown
416790,Akupara Games
416800,Guys From Andromeda LLC
416830,Bishop Games
416840,Polykroma Games
416850,Thomas Moon Kang
416870,Magic Notion Ltd
417060,Roaming Ground Studio
417110,Erotes Studio
417150,Visiontrick Media
417200,PlayFig
417200,Popcannibal
417290,SeithCG
417310,Springloaded
417350,T-Rex Games
417400,Tongsun
417410,Qumaron
417430,Microids
417480,Fun4Family
417480,Plug In Digital
417750,Volumetric Games
417840,OpenXcell Studio
417860,Kyle Seeley
417880,"PlayStation Mobile, Inc."
417890,Alientrap
417900,Kasedo Games
417910,Crazy Rocks Studios
417920,Sergei Minin
417980,Fabraz
417990,Tall Tail Studios
418030,ColdGames
418040,Yunus Ayyildiz
418050,Northbrain
418060,OneManTeam
418070,Back To Basics Gaming
418120,VDO Games
418150,Bartosz Bojarowski
418160,Rainbow Games
418170,Minindustries Game Factory
418180,HeroCraft
418190,AGM PLAYISM
418210,Nuberu Games
418240,Daedalic Entertainment
418250,Slitherine Ltd.
418260,Ghost Machine
418270,Mass Creation
418280,Cameron Baxter
418300,Hellbent Games
418310,Kisareth Studios
418340,Rooster Teeth Games
418360,Galvanic Games
418370,"CAPCOM Co., Ltd."
418430,Miolhr SM
418440,Squiddershins
418460,Tripwire Interactive
418520,SculptrVR
418610,Cleverweek
418620,Pelikan13
418640,Piko Interactive LLC
418640,Classics Digital
418650,I-Illusions
418670,Dear Villagers
418910,Very Simple Idea Studios
418940,EDWON
418950,Digital Happiness
418960,Anima Locus
419000,Zoo Corporation
419020,Crayder Studios
419080,Headup Games
419090,OMNIDREAM CREATIONS
419130,Ivent Games
419460,Numinous Games
419480,Iceberg Interactive
419500,iFun4all S.A.
419590,Black Dog 
419700,Versus Evil
419710,Considerable Content
419810,Tin Man Games
419990,rese
420000,Anuman Interactive
420020,VRX
420060,Daedalic Entertainment
420070,Tekitown
420100,Sekai Project
420110,Sekai Project
420160,Rad Dragon
420170,Tiny Red Camel
420180,Psychodev
420210,HA Studio Ltd.
420270,Mozg Labs
420290,Mastfire Studios Pty Ltd
420300,Willpowaproject
420360,3D Avenue
420370,astragon Entertainment
420380,Console Classics
420440,Killerfish Games
420500,Arcane Four Studios
420520,AGM PLAYISM
420530,Degica
420550,OutOfTheBit Ltd
420570,Ghostlight LTD
420660,Xform
420670,AVE
420740,GrabTheGames
420740,WhisperGames
420770,INSIDE SYSTEM
420790,Crunchy Games
420840,Isaac Cohen
420850,Michael Hall
420880,Gaming Cats Studio
420900,Trevor Madge
420920,Flying Interactive
420930,Katapult
420950,Silver Cow Studio
420970,TopWare Interactive ACE
420980,Dharker Studio
421020,Codemasters
421020,Feral Interactive (Mac)
421020,Feral Interactive (Linux)
421030,ZuoBuLaiGame
421030,Gamera Game
421040,VaragtP
421050,Daedalic Entertainment
421110,Yeti Studio©
421120,Amanita Design
421140,Vladimir Slav
421140,Coldwild Games
421180,Colludium Ltd
421260,BrainGoodGames
421600,"Acttil, LLC."
421610,Aksys Games
421620,Philip Royer
421630,Hosted Games
421660, VisualArts
421670,Afterthought Studios
421700,Winged Cloud
421710,MangaGamer
421740,Square Enix
421810,Aldorlea Games
421870,God As A Cucumber
421880,Zillion Whales
421890,Zoo Corporation
422010,Porpentine
422020,Brutal Studio
422030,Varia Games
422100,Chubby Pixel
422110,Moonradish Inc.
422130,Viva Media
422140,Viva Media
422210,Samaritan Studios
422250,Just1337 Publisher
422270,FrameLineNetwork
422300,Flightless
422420,22cans
422500,Oneiric Entertainment LLC
422510,FLARB LLC
422590,Cascadia Games
422610,HexWar Games
422630,Metaware
422640,Viewpoint Games
422650,BeautiFun Games
422760,Picselica Ltd
422810,Conatus Creative Inc.
422860,narayana games UG
422870,CharlieH
422900,Knuckle Cracker
422910,Knuckle Cracker
422920,Knuckle Cracker
422940,None
422970,Sorath
422980,Beyond Technical
423120,Hosted Games
423180,GameArt Studio GmbH
423220,Mexond
423230,The Game Bakers
423270,Rimlight Studios
423320,Choice of Games
423440,Choice of Games
423490,3Division
423550,8Floor
423580,Kasedo Games
423590,Curve Digital
423600,Qumaron
423610,Exquisite Games
423620,Headup
423620,Whisper Games
423650,Dharker Studio
423700,FlynnFour Games
423710,New Reality Games
423720,Daniel Riley
423730,Ground Control Studios
423740,Tuomo's games
423750,KO_OP mode
423760,OtakuMaker.com
423770,John Wizard
423780,Neo Red Ent.
423800,Nonadecimal Creative
423810,M2H
423870,Mad Capacity
423870,LREVG
423880,Moonlit Works
423890,Viking Tao
423900,AtomicTorch Studio
423950,Deep Silver
424000,VGstudio
424010,Whiskey Jack Games
424030,Campfire Games
424040,Ruffian Games
424060,Brainwashing games
424100,"dSky9, Inc."
424170,GeexGames
424200,Circus Atos
424210,Tochas Studios
424250,Balcony Team
424260,Dénis Múrias
424280,SnoutUp
424310,Wolf Ray Studios
424320,Black Shell Media 
424370,WOLCEN Studio
424610,Ratalaika Games S.L.
424640,Plug In Digital
424750,White Clover Inc.
424760,"Fair Weather Studios, LLC"
424780,Imperia Online JSC
424830,Night Node Software
424840,BANDAI NAMCO Entertainment
424850,LInsoDeTeh
424870,Aldorlea Games
425010,HyperKat Games
425040,Mongoose Net Ltd.
425070,Francois Braud (Volatile Dove)
425150,DEADBIT
425160,2D Heroes
425210,Frozenbyte
425220,BANDAI NAMCO Entertainment
425230,Stuffed Castle Studios
425240,Chasing Carrots
425260,Nanoleptic Games
425300,Smyowl Game Studio
425340,Black Shell Media
425400,SNAKE Productions
425410,tinyBuild
425450,Studio Canvas
425460,PQube Limited
425580,Fireproof Games
425600,Infamous Quests
425650,Imaginary Monsters
425670,Dreadbit
425720,Futuretown
425760,IQ Publishing
425770,Say Again Studio
425820,Ebonscale Games
425860,Strategy First
425870,Valiant Interactive
425900,Ryan Davis
425990,Anthracite Games
426000,HuniePot
426010,Nightdive Studios
426040,Perfect Square Studios
426050,Spytihněv
426170,Glass Knuckle Games
426190,Mighty Pebble Games Inc
426210,Dragon's Games
426240,Xiotex Studios Ltd
426290,Crackshell
426310,The Deep End Games
426330,Choice of Games
426590,Stoneworks Games
426630,Retroism
426690,Sekai Project
426790,Ubisoft
426930,Pump Action Games
427040,KISS ltd
427050,SIA Next Level
427100,Aerosoft GmbH
427190,Capcom
427240,Funktronic Labs
427250,Petroglyph
427290,Focus Home Interactive
427470,Positech Games
427480,ChessBase GmbH
427490,Positech Games
427510,Ghostlight LTD
427520,Wube Software LTD.
427550,Artifex Mundi
427570,Iceberg Interactive
427610,Dincicode
427640,"Qiwi Games, LLC"
427660,AGM PLAYISM
427680,XSEED Games
427680,"Marvelous USA, Inc."
427700,XSEED Games
427700,"Marvelous USA, Inc."
427730,Evil Tortilla Games
427760,Wolf & Wood Interactive Ltd
427770,Petro Shoferystov
427780,Ivanovich Games
427810,Blooming Buds Studio
427820,Square Enix
427860,AAD Productions
427880,NVYVE® Studios
427890,AAD Productions
427910,Indie Voyage
427930,Stegalosaurus Game Development
427950,CM Softworks
427970,Heathen Engineering
427980,Yume Creations
428020,Choice of Games
428040,Choice of Games
428060,Millia Soft
428080,One Hamsa
428100,Aldorlea Games
428110,Calenture Remedy Ltd
428130,Anti Crunch Studios
428180,Morenori Soft
428190,MadOut Games
428200,Ejoy Games
428210,Adham Jaber
428220,Brainy Studio LLC
428230,Windflow
428240,Shark Tree Studios
428250,1C Entertainment
428260,1C Entertainment
428270,1C Entertainment
428280,1C Entertainment
428350,Screwfly Studios
428370,Psytec Games Ltd
428410,DanielDavisGames
428440,2020 Venture
428460,Funhill Games
428490,Sullivan Boyd & Caden Petersen
428510,8Floor
428530,Party Robot Studio
428540,Sassybot
428550,AGM PLAYISM
428590,Power Up to Maximum
428590,Liens
428610,Iceberg Interactive
428630,Infernal Dream
428660,KeokeN Interactive
428690,U-Play Online
428740,Black Golem
428750,10tons Ltd
428760,Myrolit Studios
428800,Rsupport Inc.
428830,SOEDESCO Publishing
428860,Yai Gameworks
428870,Yai Gameworks
428880,Redshift
428900,KHB-Soft
428920,Lemondo Games
428930,Lucky Brograms
428940,Alex Woodcock
428950,Back To Basics Gaming
428980,Soverance Studios
429020,M4GDEV
429040,SMD Gaming Studio
429050,Greens s.r.o.
429060,DNZY Games
429180,Slightly Mad Studios
429180,BANDAI NAMCO Entertainment
429200,GamesBoosters
429200,Ripper Games
429220,UFO Crash Games
429270,Zen Labs
429280,8Floor
429300,Scarlet String Studios
429330,Curve Digital
429350,Plug In Digital
429360,Craftven
429390,Asmodee Digital
429470,GrabTheGames
429480,Snowbit Interactive
429490,Jimbob Games
429520,Retroism
429530,Retroism
429540,Nival
429580,NewWestGames
429600,Artifex Mundi
429610,Artifex Mundi
429620,Goblinz Studio
429620,WhisperGames
429660,BANDAI NAMCO Entertainment
429680,Dream Reactor
429690,Wild Rooster
429700,Team Indev
429720,Ivan Zanotti's MyMadnessWorks
429780,PolyDigital
429790,"Artix Entertainment, LLC"
429830,Triangular Pixels
429940,ebi-hime
429950,Andrés Calva
429950,Luis Calva
430020,RunServer
430070,Primary Games
430080,SimProse Studios
430100,TrerPlay
430170,Sogoal
430190,Leikir Studio
430210,"Pentadimensional Games, SL"
430230,AAAGAMES
430240,Vantage Games
430280,Nordic Mist Games
430290,Degica
430300,Degica
430410,Digital Dragon
430890,"CINEMAX, s.r.o."
430930,Downward Viral
430960,Modern Visual Arts Laboratory
431030,Chroma Coda
431120,Secret Sorcery Limited
431180,eduweb
431200,Dog Theory
431220,CleanWaterSoft
431230,Kurechii
431240,Team17 Digital Ltd
431250,Zillion Whales
431260,Jetdogs Studios
431280,Plug In Digital
431290,Plug In Digital
431300,Fun4Family
431300,Plug In Digital
431330,PIXELBUG
431370,The Shoebox Diorama
431390,The Shoebox Diorama
431450,Osaris Games
431460,Petite Games
431470,CPsoft
431500,Cadence Games
431540,2Chance Projects
431560,Atriagames
431590,Not Doppler
431600,Reiza
431610,Cheese and Bacon Games
431630,Aeonic Entertainment
431640,JoyBits Ltd.
431650,ION LANDS
431680,HexWar Games
431700,Age of Fear
431710,GrabTheGames
431740,Ryan Jensen
431750,8Floor
431770,My64K
431810,GrabTheGames
431830,We Are Bots
431840,Doomster Entertainment
431850,Fluik Entertainment Inc
431860,voldan
431870,Black Shell Media
431910,Chewa
431930,Stitch Heads Entertainment
431960,Kristjan Skutta
431990,Studio48
432010,Wayward Prophet
432020,5Wolf
432100,Dharker Studio
432130,Cyanide Tea
432170,KrupinskiArt
432180,YGGDRASIL STUDIO
432190,The Revills Games
432230,Clewcat Games
432240,Bigzur Games
432250,chickeninthecornstudio
432260,Kiemura Ltd
432270,khos85
432280,Icy Studios
432290,mPower Games Studio
432310,Celeris
432330,"CINEMAX, s.r.o."
432350,Matt Roszak
432370,"Duang! Games, LLC"
432380,Zeno Rogue
432390,GTGD
432410,Panzer Gaming Studios
432420,Eminent Softworks
432470,MagdalenaTeam
432480,Touch Orchestra
432490,Sekai Project
432500,indiemaatheus
432540,WJLEGAME
432620,Tiny Horse Games
432640,Locojoy
432720,Nkidu Games Inc.
432770,Viva Media
432780,Dream Catcher Chronicles
432790,Kuchnier Games
432870,Beast Mode Games
432890,Vindit
432940,PikPok
432950,Betelgeuse Zero
432980,Hypersect
432990,iFun4all S.A.
433000,FIVE-BN GAMES
433100,LKA
433100,Wired Productions
433110,Strategy First
433120,Strategy First
433130,iEntertainment Network Inc
433170,IndieGala
433190,MAG Studios
433210,Defroids
433280,Retroism
433280,Enlight Software Limited
433340,Monomi Park
433350,Papaya Play
433350,Vertigo Games America
433360,"Big Fish Games, Inc."
433380,Degica
433400,The Secret Games Company
433450,Arc System Works
433480,bitComposer Interactive GmbH
433490,BlauwPrint
433530,Klabater
433570,Miris Mind
433580,Nightdive Studios
433590,Enlightened Games
433600,Legend Studio
433630,Oriku Inc
433650,乐客游戏
433660,dimeStudios
433670,United Independent Entertainment GmbH
433700,Application Systems Heidelberg
433750,Plug In Digital
433790,pheenix93
433830,Floating Brain Limited
433840,Headup Games
433850,Daybreak Game Company
433890,Resilient Games Ltd.
433900,rocketship
433910,Fraoula
433920,Degica
433950,Nickervision Studios
434000,Might and Delight
434020,JE Software
434030,IPACS
434050,Gearbox Publishing
434070,"Spark Plug Games, LLC"
434090,Aerosoft GmbH
434130,Flyhigh Works
434130,CIRCLE Entertainment
434140,LootBit
434150,NighthoodGames
434160,MadGearGames
434170,"Jackbox Games, Inc."
434210,Sometimes You
434220,SunRay Games
434230,Interama - Interactive Technology
434240,Jean-Baptiste Simillon
434250,FreezeNova
434260,Green Lava Studios
434270,Raphael Gervaise
434290,Christian Reuter
434300,Zenrok Studios
434310,Morgondag
434360,Dexmes
434370,Bromoco Games
434380,Semen Rodin
434390,Wheat Muffin Games
434410,MonkeyMaw
434430,"Blackthorn Media, LLC"
434460,SEGA
434480,Senshi.Labs
434490,HyperBerry Games
434500,OtakuMaker SARL
434510,"Rock Wall Games, LLC"
434520,Open Source Publishing
434530,Forever Humble PDX
434540,GamesCafe
434570,Grunge Games LTD
434600,Deadline Soft
434650,Another Indie
434660,Square Enix 
434680,Digital Crafter
434700,littleGigantic
434730,Room710Games
434740,Lichthund
434750,Suminell Studios
434780,Halissoni
434790,Triskelia Games
434800,OtakuMaker SARL
434820,Steven Colling
434860,Workyrie Game Studio
434870,Black Sheep studio
434880,Liu Lidan
434890,David Mulder
434920,Aldorlea Games
434960,Aundre Rogers
434970,noiarc
434980,Throwback Entertainment
435000,Nat Quayle Nelson
435010,Funbox Media Ltd
435020,Tru Blu Games
435030,FIVE-BN GAMES
435040,Alawar Entertainment
435050,Simply Squared
435070,OrionSoft
435080,OrionSoft
435100,Bigben Interactive
435120,Rusty Lake
435140,Rainbow Games
435150,Larian Studios
435230,Universus Software
435250,REL Games
435260,Winter Wolves
435300,Date Nighto
435360,Dogenzaka Lab
435400,Adriaan de Jongh
435420,Buka Entertainment
435440,FX Games Media
435460,NotGames
435480,Ubisoft
435490,Mechabit Ltd
435530,tinyBuild
435600,Shoor Games
435780,Killer Lobster
435790,Curve Digital
435800,Ant Workshop Ltd
435840,Joe Richardson
435970,Degica
436000,tinyBuild Games
436060,Peter Valencia
436070,Indietopia Games 
436110,Guru Games
436140,Lonely Troops
436150,Azerion
436150,Youda Games Holding B.V.
436160,NIKITA ONLINE
436180,Mercury Steam Entertainment s.l.
436220,Futuretown
436230,Anshar Studios
436240,None
436260,AceGamer Network
436270,HexWar Games
436280,Harbinger Beard
436290,Square Enix
436320,Survios
436340,Emblematic Group
436360,Bluish-Green Games Inc.
436390,Quantized Bit
436400,Mirage Interactive
436400,北京魔视互动科技有限公司
436470,Pixeljam
436480,Dewdrop Games
436490,Innerspace VR
436500,tinyBuild
436510,Tactichaos
436520,BlackSpot Entertainment
436530,GATO STUDIO
436560,Industry Games
436670,XSEED Games
436670,"Marvelous USA, Inc."
436690,Aartform Games
436820,Aldin Dynamics
436850,WhiteSponge
436860,Dima Kiva
436870,Phung Games
436940,HTC
436950,Raw Lion Workshop
437000,Arc System Works
437020,AGM PLAYISM
437030,AGM PLAYISM
437060,Buka Entertainment
437080,bitComposer Interactive GmbH
437090,bitComposer Interactive GmbH
437100,bitComposer Interactive GmbH
437160,Mi'pu'mi Games GmbH
437170,Z3roram Studios
437180,Sergey Marchenko
437210,Console Classics
437250,Pixel Trickery
437340,2Bit Studios
437380,Tasaa Software Services Pvt. Ltd.
437390,Merge Games
437400,Inception Soft
437420,Artifex Mundi
437520,Jesper The End
437530,Plug In Digital
437570,Raw Fury
437610,Fun Bits
437630,Daedalic Entertainment
437690,FDG Entertainment
437710,LabLike Sp. z o.o.
437720,Reine Works
437730,Solid Core
437740,CydoniaGate
437870,Persona and Pixel studio
437880,Balraj Singh Bains
437890,Siberian Digital
437900,vikingfabian.com
437920,WeirdBeard
438000,Kindermann Corp.
438020,New Reality Games
438030,New Reality Games
438040,Playa Games GmbH
438080,Forever Entertainment S. A.
438090,Sixth Line Studios
438100,VRChat Inc.
438130,Sekai Project
438140,White Wizard Games
438160,pho
438180,Back To Basics Gaming
438220,GoffaGames
438240,Gindie
438260,Stubborn Horse Studios
438270,Sleepy Duck
438300,Impulse Games
438320,radio
438320,indienova
438340,Tonguç Bodur
438350,Vishnu Vadakke Pariyarath
438360,Small Room Games
438420,BadLand Publishing
438430,Milestone S.r.l.
438440,Wehrmann Studios
438450,3Dflow SRL
438460,MB2 Entertainment
438480,NukGames
438490,BANDAI NAMCO Entertainment
438560, Big Fish Games
438600,Soccer Manager Ltd
438640,Warner Bros. Interactive Entertainment
438640,Feral Interactive (Mac)
438650,NovaWake Studios
438660,JUDOBABY INC.
438680,tinyBuild
438720,Iron 27
438730,Red Phoenix Studios
438740,Gun Media
438770,LS Ensemble
438780,Layer games
438790,Team Murder
438820,Pixelated Cupcake
438910,MAGIC Spell Studios
438920,Boomzap Entertainment
438940,Aksys Games
439190,Spearhead Games
439250,GrabTheGames
439260,Tyler Hurd
439310,Digital Tribe
439340,Terapoly
439370,Archetype Studios
439420,AxiPLAY
439440,Trite Games
439460,FragOut
439490,Stellar Circle
439530,On the Level Game Studios
439550,Skobbejak Games
439720,Anarkis Gaming
439730,Bohfam
439740,Christ Laurenz Sambrano
439750,Hosted Games
439770,Hosted Games
439800,HandyGames
439880,Orangepixel
439910,Forever Entertainment S. A.
439920,Badim
439930,Badim
439940,Sekai Project
439950,Lacuna Corporation
439960,Lock 'n Load Publishing
440120,VREAL INC
440280,Hydrant Games
440340,Xenoaisam Studio
440380,Pixelated Panties
440410,Lorestrome
440420,The Digital Lounge
440450,Reborn Games Inc.
440470,Samuel Sprague
440540,Stegosoft Games
440550,Good Shepherd Entertainment
440630,Phosphor Games
440650,Stray Fawn Studio
440660,"Ugly Beard Games, LLC"
440690,Burak Dabak
440720,SVGames
440730,ANPA.US
440740,YFC games
440750,TinyAtomGames
440760,Freedomize Studio
440770,Vitaly Rekubratskiy
440790,Spider Key Games
440800,Last Life Games
440810,GameUS Inc
440870,Blue Brain Games
440880,Baroque Decay
440900,Funcom
440950,Animakemu Games
441010,Stegersaurus Software Inc.
441050,Alien Pixel Studios
441060,Sapphire Dragon Productions
441230,Ruce
441250,WindLimit
441280,Degica
441280,Vaka Game Magazine
441350,Rising Star Games
441380,BANDAI NAMCO Entertainment
441510,Black Shell Media
441550,LucasArts
441550,Lucasfilm
441550,Disney Interactive
441640,Digitallion
441670,Immortal Game Studio
441680,Ravenscourt
441790,Above and Beyond Technologies
441830,Square Enix
441850,Screaming Bee
441870,DNVR Prod
442000,TeamWaterFly
442070,"Jackbox Games, Inc."
442080,Nexon America
442120,Zen Studios
442140,Handsome Dragon Games
442190,GBROSSOFT
442210,Altfuture
442220,Inane Games
442260,Light Step Games
442290,Cake Collective Games
442500,Creative Storm Entertainment
442660,HELM Systems
442760,Neon Squid Games
442770,beyondthosehills
442770,Andreas Diktyopoulos
442780,Devolver Digital
442810,Bad Pixel
442860,Wtech
442890,AGM PLAYISM
443020,Slitherine Ltd.
443070,Strategy First
443110,My.com
443250,Kickbomb Entertainment LLC
443260,Heart Shaped Games LLC
443330,Dogenzaka Lab
443360,Buka Entertainment
443370,Buka Entertainment
443380,MangaGamer
443420,"Thiemo Bolder, ONEMANGAMES"
443450,Piranaking
443460,AGM PLAYISM
443530,Religious Studios
443570,Beatshapers
443570,Digerati Distribution
443580,LWNA
443650,Outsider Games
443680,Trazzy Entertainment
443700,dsquare
443800,Foreignvr
443810,THQ Nordic
443830,Choice of Games
443850,Shadowprerequisite
443860,Vector Unit
443880,Hollow Ponds
443890,Wave Interactive
443940,RenPen
443970,Profenix Studio SRLS
443980,Silver Cow Studio
444000,neko.works
444020,Brothers Flint
444090,Hi-Rez Studios
444130,War Drum Studios
444140,JAST USA
444160,Rooted Concepts
444170,InvertMouse
444180,Argus Games
444190,erobotan
444200,Wargaming Group Limited
444210,West Forest Games
444220,Just1337 Publisher
444250,Mojang
444260,Quiet River
444270,SIEIDI Ltd
444280,8Floor
444290,Dagestan Technology
444320,Seaside Digital Arts
444330,Plug In Digital
444350,Dan_D
444410,Bitlock Studio
444420,BrainCraft Gaming
444420,FlynnFour Games
444430,Peaksel D.O.O. Nis
444440,3100 games
444480,New Reality Games
444490,New Reality Games
444520,Lisa Voronova
444530,Eerie Bear Games
444550,Taranasus Studio
444580,Butterflyware
444590,Pugware
444620,OGSeries
444640,Ninja Kiwi
444650,Crowbox
444670,Wonderful Lasers
444690,Forthright Entertainment
444710,Picorinne Soft
444720,Jonathan BRASSAUD
444770,Dreadlocks Mobile
444770,Silicon Jelly
444770,Dreadlocks Ltd.
444790,Dagestan Technology
444800,Evil Indie Games
444830,Matterhorn Software LTD
444870,The Major Game Company
444880,Missing Link Games
444930,Magic Pixel Kft.
444940,Walter Machado
444950,Zoo Corporation
444950,Atlinks Corporation
444970,NEW AUDIO TECHNOLOGY
444990,Since Idea Games
445000,Assemble Entertainment
445020,Mode 7
445040,inkle Ltd
445050,ShadowBrain Games
445070,BlueLine Games
445110,Dingo Games
445130,Lemonsucker Games
445140,Alkame Games
445170,Aaron Legault
445190,THQ Nordic
445210,Convex
445220,Boxelware
445230,SmoleVN
445310,Ubisoft
445350,"No, You Shut Up Inc."
445420,JAST USA
445430,JAST USA
445550,Retro Warp Gaming
445600,Tryzna83
445670,MangaGamer
445720,505 Games
445750,Allen Dayan
445770,Big Fat Simulations Inc.
445800,Initiative Media
445840,Peaksel D.O.O. Nis
445860,Oasis VR
445870,tinyBuild
445950,Danl2o2o
445980,Contingent99
446000,Silver Lemur Games
446010,SaintBunny
446020,Excalibur Games
446030,Encircle Games
446040,Studio Saizensen
446050,Magic Item Tech
446070,Sundae Factory
446100,VooFoo Studios
446110,Dreamatrix
446120,Ninja Robot Dinosaur
446150,"PlayStation Mobile, Inc."
446240,House of Wire
446250,Byulbram Studio
446310,Hosted Games
446330,Hosted Games
446380,TrerPlay
446390,D3 PUBLISHER
446430,United Independent Entertainment GmbH
446440,United Independent Entertainment GmbH
446450,United Independent Entertainment GmbH
446460,United Independent Entertainment GmbH
446470,United Independent Entertainment GmbH
446480,United Independent Entertainment GmbH
446490,United Independent Entertainment GmbH
446540,Asmodee Digital
446550,Zen Studios
446560,Ubisoft
446570,Mure VR
446590,"Napoleon Games, s.r.o."
446600,Dharker Studio
446610,Dharker Studio
446620,"Acceleroto, Inc."
446640,GrabTheGames
446760,Fermenter Games
446770,Flatbox Studios LLC
446780,Artem Bondin
446790,Good Shepherd Entertainment
446800,Good Shepherd Entertainment
446810,FDG Entertainment
446840,Dear Villagers
446850,Interactive Productline IP AB
446870,Green Man Gaming Publishing
446910,Trapdoor Games
446990,Desert Owl Games LLC
447000,Adam Wells
447020,Focus Home Interactive
447040,Ubisoft
447100,"Metaware Limited, LLC"
447120,Good Shepherd Entertainment
447150,Devolver Digital
447170,Dogenzaka Lab
447180,Dogenzaka Lab
447190,Dogenzaka Lab
447200,Dogenzaka Lab
447210,nextReality Games
447240,Rainssong
447270,IKEA Communications AB
447290,Good Shepherd Entertainment
447310,isTom Games Kft.
447530,Ysbryd Games
447530,AGM PLAYISM
447540,Charlie Evans
447570,Golden Game Barn
447690,"Nicalis, Inc."
447780,Frontier Developments
447800,Frontier Developments
447820,New World Interactive
447850,Labory
447860,Naps Team
447890,Forever Entertainment S. A.
447920,New Reality Games
447930,C-DRIVE MEDIA ART
447940,BrineTeam
447950,Fun Infused Games
447960,davevillz
447970,Riviysky
447980,Mind's Eye Games
447990,The Light Sword Team
448000,Forever Entertainment S. A.
448010,Luke Godfrey
448020,HFM Games
448050,Zen Labs
448060,Panzer Gaming Studios
448070,Microblast Games
448080,"Jackbox Games, Inc."
448110,Edd Coast
448140,Nightmaker
448140,SimplexGameStudio
448150,Bread Vision Studios LLC.
448160,Nyu Media
448170,White Giant RPG Studios
448230,NewWorldCoders
448240,Abstract Software Inc.
448250,Siberian Digital
448260,Siberian Digital
448280,Owlchemy Labs
448290,StarBlade
448300,Bouchard Industries
448310,varlamov5264
448320,Torrunt
448350,Peace
448370,Destructive Creations
448380,Tarboosh Games
448390,N.R. Burnette
448400,Alawar Entertainment
448440,Proximity Games
448450,Glitch Games Ltd
448470,Sometimes You
448480,Jerome Bodin
448500,Blake Fix
448510,Team17 Digital Ltd
448520,Grove Comp
448530,Green Man Gaming Publishing
448540,Microids Indie
448550,Gammosaur
448560,RunServer
448570,CloudTheWolf Games
448580,DDD Wares
448610,17Studio
448620,Yo_Serjio
448630,New Reality Games
448650,exoa
448660,CharlieH
448660,Atriagames
448670,App Business Ventures LLC
448690,Maltakreuz
448710,VirZOOM
448720,OtakuMaker.com
448730,Game Studio Abraham Stolk Inc.
448750,ArcticFox223
448780,KishMish Games
448790,OtakuMaker SARL
448800,Vivid Helix
448810,Tagunda LLC
448820,Sergey Bobrov
448830,Colossal Wreck
448850,"Revival Productions, LLC"
448910,BrainGoodGames
448930,Toni Domínguez
448940,Riviysky
448960,++Good Games
448960,GameChanger Charity
448980,Summit Entertainment LLC
449000,For All To Play
449020,Red Nettle Studio
449040,Wholetone Games
449050,Wholetone Games
449060,Vertical Skull Games
449070,TripleRam Games
449090,XPAGAME
449100,Abyssal Arts Ltd.
449120,Diego Rodrigues
449130,Immersive VR Education Ltd.
449140,treeform
449150,SiChris Productions
449160,Petite Games
449170,8Floor
449180,Axis Games
449200,Back To Basics Gaming
449210,Retro Army Limited
449220,SouKing
449240,Afrobeast PTY. LTD.
449250,Hanako Games
449300,Wastelands Interactive
449320,David H Schroeder
449330,"Angry Hangar Games, LLC"
449340,Thesis Games
449350,SiBear Games
449420,Magory.net
449440,Anatoliy Loginovskikh
449450,PsychoFlux Entertainment
449460,HexWar Games
449470,Parallaxian Pty Ltd
449500,Libredia
449510,Nkidu Games Inc.
449520,Rainbow Games
449530,WolfgangIs
449540,K Bros Games
449550,InterAction studios
449560,The Mojo Collective
449560,Ian Frank Productions
449640,nDreams
449690,Fighting Games
449700,Nuclear Fiction
449710,Hexage
449730,Alice & Smith
449760,Cleverweek
449770,Cannibal Interactive
449780,Centre For Longitudinal Studies
449800,"KOEI TECMO GAMES CO., LTD."
449820,Blackrose Industries
449940,WTFOMGames
449960,Thing Trunk
450020,Ross Edgar
450030,BME Digital Studios
450040,IV Production
450050,IV Productions
450060,IV Productions
450110,GuidiGermano
450120,Enlight Software Limited
450120,Retroism
450140,Enlight Software Limited
450140,Retroism
450150,Big Fish Games
450170,BadLand Publishing
450190,Jetdogs Studios
450220,"Revival Productions, LLC"
450250,Aksys Games
450290,HexWar Games
450390,Valve
450440,"Nicalis, Inc."
450500,AGM PLAYISM
450540,RUST LTD.
450570,United Independent Entertainment GmbH
450590,United Independent Entertainment GmbH
450600,United Independent Entertainment GmbH
450630,Hello Bard AS
450650,Gridlock Interactive
450670,Playrise Digital Ltd.
450700,Weird and Wry
450740,IV Productions
450850,SC Jogos
450860,SC Jogos
450950,Doragon Entertainment
451000,Josh Koenig (Slashandz)
451010,Bolvërk Games
451020,THQ Nordic
451060,DragonJam Studios
451080,Other Ocean Group
451100,Plug In Digital
451100,Moving Player
451130,Blaze Gamers
451140,Big Fish Games
